nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
PROTEINA DE SOJA,NAO SE APLICA,proteina de soja,142.37,18.51,5.8,5.32,0.44,455.73,0.83,0.03,0.22,,IBGE
PROTEINA VEGETAL,NAO SE APLICA,proteina vegetal,142.37,18.51,5.8,5.32,0.44,455.73,0.83,0.03,0.22,,IBGE
COMPLEMENTO ALIMENTAR DE QUALQUER SABOR,NAO SE APLICA,complemento alimentar de qualquer sabor,369.15,24.05,68.02,0.49,,351.16,0.32,0.03,57.58,12.33,IBGE
SUCRILHOS DE MILHO LIGHT,NAO SE APLICA,sucrilhos de milho light,365.0,7.2,83.8,1.0,4.1,655.0,,,,,IBGE
MINI PIZZA SEMIPRONTA LIGHT,ASSADO(A),mini pizza semipronta light assado,255.57,14.6,29.82,8.45,1.74,736.75,5.12,0.17,2.19,21.88,IBGE
MACARRAO INSTANTANEO LIGHT,SOPA,macarrao instantaneo light sopa,189.86,5.65,25.54,7.18,1.16,429.68,2.36,0.2,4.48,8.28,IBGE
MACARRAO INSTANTANEO LIGHT,NAO SE APLICA,macarrao instantaneo light,189.86,5.65,25.54,7.18,1.16,429.68,2.36,0.2,4.48,8.28,IBGE
PROTEINA DE SOJA ORGANICA,NAO SE APLICA,proteina de soja organica,142.37,18.51,5.8,5.32,0.44,455.73,0.83,0.03,0.22,,IBGE
MACARRAO COM CARNE,NAO SE APLICA,macarrao com carne,120.59,6.22,17.42,2.79,1.25,82.21,0.74,0.08,1.4,9.43,IBGE
MACARRAO COM PEIXE,NAO SE APLICA,macarrao com peixe,163.17,14.98,15.43,4.13,0.9,53.0,0.72,0.02,0.28,34.0,IBGE
COCO DA BAHIA (SECO OU VERDE),NAO SE APLICA,coco da bahia seco ou verde,354.0,3.33,15.23,33.49,9.0,20.0,29.7,,3.5,,IBGE
CASTANHA PORTUGUESA,NAO SE APLICA,castanha portuguesa,131.0,2.0,27.76,1.38,4.14,27.0,0.26,,4.15,,IBGE
PINHAO,NAO SE APLICA,pinhao,174.37,2.98,43.92,0.75,15.6,0.86,0.3,,,,IBGE
AMENDOA,NAO SE APLICA,amendoa,578.0,21.26,19.74,50.64,11.8,1.0,3.88,,4.8,,IBGE
AVELA,NAO SE APLICA,avela,628.0,14.95,16.7,60.75,9.7,,4.46,,4.84,,IBGE
CASTANHA DO PARA,NAO SE APLICA,castanha do para,656.0,14.32,12.27,66.43,7.5,3.0,15.14,,2.33,,IBGE
CASTANHA DE CAJU,NAO SE APLICA,castanha de caju,574.0,15.31,32.69,46.35,3.0,16.0,9.16,,6.2,,IBGE
BUTIA,NAO SE APLICA,butia,105.0,1.9,22.8,2.0,7.4,,,,,,IBGE
TUCUMA,NAO SE APLICA,tucuma,474.0,5.5,6.8,47.2,19.2,,,,,,IBGE
COCO MUCAJA,NAO SE APLICA,coco mucaja,404.28,2.08,13.95,40.66,13.44,0.65,7.1,,,,IBGE
NOZ (NOGUEIRA),NAO SE APLICA,noz nogueira,654.0,15.23,13.71,65.21,6.7,2.0,6.13,,2.6,,IBGE
ACAI,NAO SE APLICA,acai,262.0,3.6,57.4,2.0,5.92,,,,,,IBGE
JUCARA,NAO SE APLICA,jucara,262.0,3.6,57.4,2.0,5.92,,,,,,IBGE
UACAI,NAO SE APLICA,uacai,262.0,3.6,57.4,2.0,5.92,,,,,,IBGE
JUSSARA,NAO SE APLICA,jussara,262.0,3.6,57.4,2.0,5.92,,,,,,IBGE
PUPUNHA,NAO SE APLICA,pupunha,28.0,2.52,4.62,0.62,2.4,426.0,0.13,,,,IBGE
BACABA,NAO SE APLICA,bacaba,212.0,3.12,6.6,19.8,,,,,,,IBGE
BACABUCU,NAO SE APLICA,bacabucu,212.0,3.12,6.6,19.8,,,,,,,IBGE
CASTANHA DA INDIA,NAO SE APLICA,castanha da india,656.0,14.32,12.27,66.43,7.5,3.0,15.14,,2.33,,IBGE
PISTACHE,NAO SE APLICA,pistache,557.0,20.61,27.97,44.44,10.3,1.0,5.44,,7.64,,IBGE
BURITI,NAO SE APLICA,buriti,145.0,1.8,10.2,8.1,9.6,,,,,,IBGE
COCO,NAO SE APLICA,coco,354.0,3.33,15.23,33.49,9.0,20.0,29.7,,3.5,,IBGE
