nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
BALA,NAO SE APLICA,bala,394.0,,98.0,0.2,,38.0,,,98.2,,IBGE
CARAMELO (BALA),NAO SE APLICA,caramelo bala,382.0,4.6,77.0,8.1,,245.0,2.48,0.04,46.75,7.0,IBGE
DROPS,NAO SE APLICA,drops,394.0,,98.0,0.2,,38.0,,,98.2,,IBGE
PASTILHA,NAO SE APLICA,pastilha,396.0,,98.9,,0.1,44.0,,,58.97,,IBGE
PIRULITO,NAO SE APLICA,pirulito,394.0,,98.0,0.2,,38.0,,,98.2,,IBGE
GOMA DE MASCAR,NAO SE APLICA,goma de mascar,396.0,,98.9,,0.1,44.0,,,58.97,,IBGE
JUJUBA,NAO SE APLICA,jujuba,375.0,,93.55,0.05,0.2,50.0,,,46.56,,IBGE
TABLETE DE CHOCOLATE,NAO SE APLICA,tablete de chocolate,535.0,7.65,59.4,29.66,3.4,79.0,20.78,0.09,54.8,23.0,IBGE
BARRA DE CHOCOLATE,NAO SE APLICA,barra de chocolate,535.0,7.65,59.4,29.66,3.4,79.0,20.78,0.09,54.8,23.0,IBGE
CONFETE,NAO SE APLICA,confete,492.0,4.33,71.19,21.13,2.8,61.0,13.08,0.17,63.3,14.0,IBGE
CHOCOLATE EM PO DE QUALQUER MARCA,NAO SE APLICA,chocolate em po de qualquer marca,364.24,2.83,85.53,3.55,1.66,350.14,0.8,0.37,80.44,0.45,IBGE
OVOMALTINE,NAO SE APLICA,ovomaltine,388.0,9.17,75.13,5.19,1.98,353.0,1.62,0.99,70.81,5.82,IBGE
ACHOCOLATADO EM PO,NAO SE APLICA,achocolatado em po,400.0,4.55,90.28,2.27,4.5,136.0,2.27,,77.39,,IBGE
TODDYNHO,NAO SE APLICA,toddynho,83.32,3.18,10.38,3.4,0.8,60.23,2.11,0.12,10.14,12.05,IBGE
BOMBOM DE QUALQUER MARCA,NAO SE APLICA,bombom de qualquer marca,373.0,,93.18,0.02,,11.0,,,84.44,,IBGE
TRUFA,NAO SE APLICA,trufa,487.87,3.57,49.06,36.26,4.55,14.32,20.83,0.88,41.35,32.32,IBGE
GELEIA DE FRUTAS DE QUALQUER MARCA OU SABOR,NAO SE APLICA,geleia de frutas de qualquer marca ou sabor,278.0,0.37,68.86,0.07,1.1,32.0,0.01,,48.9,,IBGE
MOUSSE DE QUALQUER SABOR (GELÉIA),NAO SE APLICA,mousse de qualquer sabor geleia,331.89,5.09,32.19,21.87,1.18,49.69,12.59,0.46,29.84,159.21,IBGE
GELEIA DE MOCOTO,NAO SE APLICA,geleia de mocoto,120.25,3.04,27.99,,,9.01,,,27.97,,IBGE
DOCE DE FRUTAS EM PASTA DE QUALQUER SABOR,NAO SE APLICA,doce de frutas em pasta de qualquer sabor,291.3,0.77,74.28,0.29,1.62,0.6,0.08,,72.58,,IBGE
PASTA DE AMENDOIM,NAO SE APLICA,pasta de amendoim,588.0,25.09,19.56,50.39,6.0,459.0,10.51,,9.22,,IBGE
PESSEGADA,NAO SE APLICA,pessegada,77.0,0.54,19.79,0.14,2.2,6.0,,,16.06,,IBGE
MARMELADA,NAO SE APLICA,marmelada,278.0,0.37,68.86,0.07,1.1,32.0,0.01,,48.9,,IBGE
FIGADA,NAO SE APLICA,figada,88.0,0.38,22.9,0.1,2.2,1.0,0.02,,16.75,,IBGE
GOIABADA,NAO SE APLICA,goiabada,291.3,0.77,74.28,0.29,1.62,0.6,0.08,,72.58,,IBGE
CAJU EM PASTA,NAO SE APLICA,caju em pasta,291.3,0.77,74.28,0.29,1.62,0.6,0.08,,72.58,,IBGE
MARIOLA,NAO SE APLICA,mariola,291.3,0.77,74.28,0.29,1.62,0.6,0.08,,72.58,,IBGE
DOCE DE FRUTAS EM CALDA DE QUALQUER SABOR,NAO SE APLICA,doce de frutas em calda de qualquer sabor,77.0,0.54,19.79,0.14,2.2,6.0,,,16.06,,IBGE
DOCE DE FRUTAS CRISTALIZADO DE QUALQUER SABOR,NAO SE APLICA,doce de frutas cristalizado de qualquer sabor,291.3,0.77,74.28,0.29,1.62,0.6,0.08,,72.58,,IBGE
MELADO,NAO SE APLICA,melado,296.0,,76.6,,,4.0,,,42.2,,IBGE
MEL,NAO SE APLICA,mel,304.0,0.3,82.4,,0.2,4.0,,,82.13,,IBGE
GELATINA DE QUALQUER SABOR,NAO SE APLICA,gelatina de qualquer sabor,278.0,0.37,68.86,0.07,1.1,32.0,0.01,,48.9,,IBGE
MERENGUE,NAO SE APLICA,merengue,358.26,6.21,85.89,0.1,0.0,94.73,,,85.54,,IBGE
SCHIMIER DE CANA,NAO SE APLICA,schimier de cana,296.0,,76.6,,,4.0,,,42.2,,IBGE
FRUTA SECA OU DESIDRATADA,NAO SE APLICA,fruta seca ou desidratada,240.0,2.18,63.88,0.38,7.1,2.0,0.09,,38.12,,IBGE
PASSA,NAO SE APLICA,passa,299.0,3.07,79.18,0.46,3.7,11.0,0.06,,57.88,,IBGE
PUDIM DE QUALQUER SABOR,NAO SE APLICA,pudim de qualquer sabor,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
DANETTE PUDIM,NAO SE APLICA,danette pudim,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
MANJAR,NAO SE APLICA,manjar,284.98,8.2,40.14,10.74,0.34,129.47,6.63,0.2,38.63,118.44,IBGE
CUSCUZ,NAO SE APLICA,cuscuz,128.3,4.35,26.42,0.22,1.71,261.48,0.04,,0.72,,IBGE
CUSCUZ DE TAPIOCA,NAO SE APLICA,cuscuz de tapioca,116.99,4.33,15.51,4.1,0.03,100.38,1.99,0.1,13.2,63.11,IBGE
MARIA MOLE,NAO SE APLICA,maria mole,444.92,1.64,68.84,19.94,2.59,148.99,17.68,,61.43,,IBGE
COCADA,NAO SE APLICA,cocada,404.8,1.01,75.65,12.46,1.58,107.35,11.01,,62.21,,IBGE
QUEBRA QUEIXO,NAO SE APLICA,quebra queixo,404.8,1.01,75.65,12.46,1.58,107.35,11.01,,62.21,,IBGE
DOCE DE AMENDOIM,NAO SE APLICA,doce de amendoim,451.58,11.16,55.29,23.89,3.73,221.83,4.06,0.96,39.22,,IBGE
PE DE MOLEQUE,NAO SE APLICA,pe de moleque,474.0,9.1,69.2,17.91,2.42,21.0,2.36,,55.51,,IBGE
PACOCA,NAO SE APLICA,pacoca,472.17,10.35,64.04,21.53,3.89,3.07,2.99,,15.14,,IBGE
TORRAO DE AMENDOIM,NAO SE APLICA,torrao de amendoim,460.34,11.01,56.27,24.64,6.13,7.08,1.86,0.01,47.33,,IBGE
PACOQUINHA DE AMENDOIM,NAO SE APLICA,pacoquinha de amendoim,472.17,10.35,64.04,21.53,3.89,3.07,2.99,,15.14,,IBGE
AMENDOIM CARAMELIZADO,NAO SE APLICA,amendoim caramelizado,474.0,9.1,69.2,17.91,2.42,21.0,2.36,,55.51,,IBGE
AMENDOIM AMANTEIGADO,NAO SE APLICA,amendoim amanteigado,567.0,25.8,16.13,49.24,8.5,18.0,6.83,,4.0,,IBGE
AMENDOIM ACHOCOLATADO,NAO SE APLICA,amendoim achocolatado,519.0,13.1,49.7,33.5,4.7,41.0,14.6,0.04,40.9,9.0,IBGE
AMENDOIM APIMENTADO,NAO SE APLICA,amendoim apimentado,567.0,25.8,16.13,49.24,8.5,18.0,6.83,,4.0,,IBGE
AMENDOIM COZIDO,NAO SE APLICA,amendoim cozido,318.0,13.5,21.26,22.01,8.8,751.0,3.06,,2.02,,IBGE
BRIGADEIRO,NAO SE APLICA,brigadeiro,334.48,7.52,54.86,10.14,0.23,128.6,5.49,0.59,52.59,31.69,IBGE
BOMBA DE QUALQUER TIPO,NAO SE APLICA,bomba de qualquer tipo,339.26,6.32,18.55,26.93,0.54,50.56,15.9,0.91,4.95,194.01,IBGE
MIL FOLHAS,NAO SE APLICA,mil folhas,440.33,2.36,43.22,29.03,0.43,199.14,14.38,2.05,31.5,56.04,IBGE
QUEIJADINHA,NAO SE APLICA,queijadinha,404.8,1.01,75.65,12.46,1.58,107.35,11.01,,62.21,,IBGE
DOCE A BASE DE OVOS,NAO SE APLICA,doce a base de ovos,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
CACAROLA ITALIANA,NAO SE APLICA,cacarola italiana,284.98,8.2,40.14,10.74,0.34,129.47,6.63,0.2,38.63,118.44,IBGE
QUINDIM,NAO SE APLICA,quindim,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
FIOS DE OVOS,NAO SE APLICA,fios de ovos,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
DOCE A BASE DE LEITE,NAO SE APLICA,doce a base de leite,319.7,7.88,54.18,8.67,,126.48,5.46,0.31,52.51,33.86,IBGE
PAVE DE QUALQUER SABOR,NAO SE APLICA,pave de qualquer sabor,306.43,4.94,21.59,22.24,0.36,151.95,12.88,0.94,17.1,151.85,IBGE
AMBROSIA,NAO SE APLICA,ambrosia,144.23,4.09,23.88,3.84,0.26,46.1,1.72,0.07,23.26,75.36,IBGE
LEITE GELEIFICADO,NAO SE APLICA,leite geleificado,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
CHANDELE DE QUALQUER SABOR,NAO SE APLICA,chandele de qualquer sabor,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
MUMU,NAO SE APLICA,mumu,319.7,7.88,54.18,8.67,,126.48,5.46,0.31,52.51,33.86,IBGE
CANUDINHO RECHEADO,NAO SE APLICA,canudinho recheado,123.26,2.43,21.33,4.5,2.22,62.16,3.61,,8.86,0.28,IBGE
SAROLHO,NAO SE APLICA,sarolho,336.0,2.0,82.0,,,1.5,,,,,IBGE
BEIJU,NAO SE APLICA,beiju,336.0,2.0,82.0,,,1.5,,,,,IBGE
SCHIMIER DE FRUTA (EXCETO DE CANA),NAO SE APLICA,schimier de fruta exceto de cana,278.0,0.37,68.86,0.07,1.1,32.0,0.01,,48.9,,IBGE
BEIJO DE MOCA,NAO SE APLICA,beijo de moca,387.0,,99.98,,,,,,99.91,,IBGE
PICOLE ENSACADO,NAO SE APLICA,picole ensacado,79.0,,19.23,0.24,,7.0,0.01,,13.67,,IBGE
GELADINHO,NAO SE APLICA,geladinho,122.69,0.14,32.51,0.09,0.45,8.64,0.01,,26.13,,IBGE
CHURRO,NAO SE APLICA,churro,401.66,3.0,45.94,23.44,0.81,149.03,14.71,0.94,24.81,61.38,IBGE
PAMONHA,NAO SE APLICA,pamonha,171.0,2.6,30.7,4.8,2.4,132.0,0.5,0.11,,,IBGE
ALGODAO-DOCE,NAO SE APLICA,algodaodoce,387.0,,99.98,,,,,,99.91,,IBGE
IOIO CREME (CHOCOLATE EM CREME),NAO SE APLICA,ioio creme chocolate em creme,350.0,4.6,62.9,8.9,2.8,346.0,3.98,,48.37,1.0,IBGE
OVO DE PASCOA,NAO SE APLICA,ovo de pascoa,535.0,7.65,59.4,29.66,3.4,79.0,20.78,0.09,54.8,23.0,IBGE
KINDER OVO,NAO SE APLICA,kinder ovo,535.0,7.65,59.4,29.66,3.4,79.0,20.78,0.09,54.8,23.0,IBGE
TORRONE,NAO SE APLICA,torrone,460.34,11.01,56.27,24.64,6.13,7.08,1.86,0.01,47.33,,IBGE
ARROZ-DOCE,NAO SE APLICA,arrozdoce,108.49,3.05,18.77,2.34,0.1,50.79,1.32,0.08,10.76,6.94,IBGE
POLPA DE COCO,NAO SE APLICA,polpa de coco,402.0,3.8,9.8,41.7,5.0,11.0,,,,,IBGE
DIET SHAKE,NAO SE APLICA,diet shake,335.52,19.19,69.94,1.87,7.39,395.27,0.76,0.01,59.33,5.27,IBGE
CONCENTRADO ALIMENTAR DIET SHAKE,NAO SE APLICA,concentrado alimentar diet shake,335.52,19.19,69.94,1.87,7.39,395.27,0.76,0.01,59.33,5.27,IBGE
ACUCAR,NAO SE APLICA,acucar,387.0,,99.98,,,,,,99.91,,IBGE
ACUCAR LIGHT,NAO SE APLICA,acucar light,400.0,,100.0,,,,,,,,IBGE
BARRA DE CEREAIS,NAO SE APLICA,barra de cereais,352.92,3.17,69.44,8.55,2.32,284.16,0.93,0.04,37.4,,IBGE
BARRA DE CEREAIS SALGADA,NAO SE APLICA,barra de cereais salgada,352.92,3.17,69.44,8.55,2.32,284.16,0.93,0.04,37.4,,IBGE
BARRA DE CEREAIS DOCE,NAO SE APLICA,barra de cereais doce,352.92,3.17,69.44,8.55,2.32,284.16,0.93,0.04,37.4,,IBGE
SOBREMESA DE QUALQUER TIPO (EXCETO INFANTIL),NAO SE APLICA,sobremesa de qualquer tipo exceto infantil,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
RABANADA,NAO SE APLICA,rabanada,293.0,4.7,31.3,16.6,0.5,85.0,3.4,0.1,,38.0,IBGE
MILK SHAKE,NAO SE APLICA,milk shake,161.09,3.11,23.49,6.43,0.76,64.45,3.96,0.24,17.79,25.08,IBGE
GELEIA DIET,NAO SE APLICA,geleia diet,52.64,0.47,12.72,0.17,1.4,1.2,0.01,,3.02,,IBGE
DOCE DE FRUTAS DIET,NAO SE APLICA,doce de frutas diet,52.64,0.47,12.72,0.17,1.4,1.2,0.01,,3.02,,IBGE
PASTEIS DE SANTA CLARA,NAO SE APLICA,pasteis de santa clara,131.15,5.58,15.44,5.07,,60.62,2.14,0.08,15.9,122.51,IBGE
SUSPIRO,NAO SE APLICA,suspiro,358.26,6.21,85.89,0.1,0.0,94.73,,,85.54,,IBGE
DOCE DE FRUTAS CRISTALIZADO DE QUALQUER SABOR DIET,NAO SE APLICA,doce de frutas cristalizado de qualquer sabor diet,52.64,0.47,12.72,0.17,1.4,1.2,0.01,,3.02,,IBGE
SORVETE DE QUALQUER SABOR INDUSTRIALIZADO LIGHT,NAO SE APLICA,sorvete de qualquer sabor industrializado light,188.99,4.43,26.15,7.67,0.6,75.0,4.7,0.25,22.11,33.0,IBGE
SORVETE DE QUALQUER SABOR INDUSTRIALIZADO DIET,NAO SE APLICA,sorvete de qualquer sabor industrializado diet,190.0,3.17,15.87,12.7,4.8,48.0,6.79,0.45,5.93,32.0,IBGE
BALA LIGHT,NAO SE APLICA,bala light,235.0,,95.0,,,,,,,,IBGE
CHICLETE DIET,NAO SE APLICA,chiclete diet,240.0,,100.0,,,,,,,,IBGE
BALA DIET,NAO SE APLICA,bala diet,235.0,,95.0,,,,,,,,IBGE
BARRA DE CHOCOLATE LIGHT,NAO SE APLICA,barra de chocolate light,539.79,10.58,40.42,41.64,4.32,165.82,21.17,0.01,31.32,2.8,IBGE
BARRA DE CHOCOLATE DIET,NAO SE APLICA,barra de chocolate diet,539.79,10.58,40.42,41.64,4.32,165.82,21.17,0.01,31.32,2.8,IBGE
ACHOCOLATADO EM PO LIGHT,NAO SE APLICA,achocolatado em po light,337.7,29.42,55.3,2.39,4.43,1236.82,1.44,0.02,46.18,7.16,IBGE
ACHOCOLATADO EM PO DIET,NAO SE APLICA,achocolatado em po diet,337.7,29.42,55.3,2.39,4.43,978.44,1.44,0.02,46.18,7.16,IBGE
TODDYNHO DIET,NAO SE APLICA,toddynho diet,73.29,3.48,7.09,3.51,0.39,71.79,2.01,0.11,6.24,9.59,IBGE
BOMBOM DE QUALQUER MARCA LIGHT,NAO SE APLICA,bombom de qualquer marca light,373.0,,93.18,0.02,,11.0,,,84.44,,IBGE
BOMBOM DE QUALQUER MARCA DIET,NAO SE APLICA,bombom de qualquer marca diet,373.0,,93.18,0.02,,11.0,,,84.44,,IBGE
BOMBOM CARAMELIZADO DE QUALQUER MARCA DIET,NAO SE APLICA,bombom caramelizado de qualquer marca diet,373.0,,93.18,0.02,,11.0,,,84.44,,IBGE
GELEIA DE FRUTAS DE QUALQUER MARCA OU SABOR LIGHT,NAO SE APLICA,geleia de frutas de qualquer marca ou sabor light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
GELEIA LIGHT,NAO SE APLICA,geleia light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
GELEIA DE FRUTAS LIGHT,NAO SE APLICA,geleia de frutas light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
DOCE DE FRUTAS EM BARRA OU PASTA LIGHT,NAO SE APLICA,doce de frutas em barra ou pasta light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
DOCE DE FRUTAS EM PASTA LIGHT,NAO SE APLICA,doce de frutas em pasta light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
PUDIM DE QUALQUER SABOR LIGHT,NAO SE APLICA,pudim de qualquer sabor light,119.15,5.68,15.75,3.55,,63.28,1.32,0.03,15.86,119.18,IBGE
PUDIM DANETTE LIGHT,NAO SE APLICA,pudim danette light,119.15,5.68,15.75,3.55,,63.28,1.32,0.03,15.86,119.18,IBGE
PUDIM DE QUALQUER SABOR DIET,NAO SE APLICA,pudim de qualquer sabor diet,119.15,5.68,15.75,3.55,,63.28,1.32,0.03,15.86,119.18,IBGE
DOCE DE LEITE LIGHT,NAO SE APLICA,doce de leite light,292.29,7.58,58.98,3.62,,94.3,2.08,0.14,59.91,13.25,IBGE
DOCE DE LEITE DIET,NAO SE APLICA,doce de leite diet,292.29,7.58,58.98,3.62,,94.3,2.08,0.14,59.91,13.25,IBGE
BARRA DE CEREAIS DIET,NAO SE APLICA,barra de cereais diet,403.45,5.56,86.36,5.44,7.2,230.51,0.55,0.02,38.43,,IBGE
BARRA DE CEREAIS DOCE DIET,NAO SE APLICA,barra de cereais doce diet,403.45,5.56,86.36,5.44,7.2,230.51,0.55,0.02,38.43,,IBGE
MILK SHAKE DIET,NAO SE APLICA,milk shake diet,335.52,19.19,69.94,1.87,7.39,395.27,0.76,0.01,59.33,5.27,IBGE
COCADA DIET,NAO SE APLICA,cocada diet,404.8,1.01,75.65,12.46,1.58,107.35,11.01,,62.21,,IBGE
DOCE DE AMENDOIM DIET,NAO SE APLICA,doce de amendoim diet,599.0,28.03,15.26,52.5,9.4,6.0,8.69,,4.19,,IBGE
PACOCA DIET,NAO SE APLICA,pacoca diet,599.0,28.03,15.26,52.5,9.4,6.0,8.69,,4.19,,IBGE
AMENDOIM AMANTEIGADO DIET,NAO SE APLICA,amendoim amanteigado diet,477.86,7.09,64.64,21.64,2.96,309.23,7.25,0.35,1.07,22.75,IBGE
DOCE A BASE DE LEITE DIET,NAO SE APLICA,doce a base de leite diet,292.29,7.58,58.98,3.62,,94.3,2.08,0.14,59.91,13.25,IBGE
GELATINA DE QUALQUER SABOR LIGHT,NAO SE APLICA,gelatina de qualquer sabor light,179.01,0.36,46.13,0.05,0.35,2.01,0.02,,45.61,,IBGE
ADOCANTE LIGHT,NAO SE APLICA,adocante light,365.0,2.17,89.08,,,,,,80.72,,IBGE
ADOCANTE EM PO LIGHT,NAO SE APLICA,adocante em po light,365.0,2.17,89.08,,,,,,80.72,,IBGE
MOSTARDA MOLHO,NAO SE APLICA,mostarda molho,67.0,4.37,5.33,4.01,3.3,1135.0,0.25,0.01,0.86,,IBGE
HORTELA,NAO SE APLICA,hortela,1.0,,0.2,,,1.0,0.0,,,,IBGE
ALCAPARRA EM CONSERVA,NAO SE APLICA,alcaparra em conserva,23.0,2.36,4.89,0.86,3.2,2964.0,0.23,,2.53,,IBGE
COENTRO,NAO SE APLICA,coentro,279.0,21.93,52.1,4.78,10.4,211.0,0.12,,34.75,,IBGE
MOLHO DE SOJA,NAO SE APLICA,molho de soja,53.0,6.28,7.61,0.04,0.8,5637.0,0.01,,2.0,,IBGE
SHOYO,NAO SE APLICA,shoyo,53.0,6.28,7.61,0.04,0.8,5637.0,0.01,,2.0,,IBGE
LEITE DE COCO,NAO SE APLICA,leite de coco,202.46,1.61,5.59,20.85,0.91,12.03,18.49,,4.68,,IBGE
MAIONESE (MOLHO),NAO SE APLICA,maionese molho,261.05,0.47,13.38,23.33,0.06,831.34,3.8,0.12,10.24,32.91,IBGE
MASSA DE TOMATE,NAO SE APLICA,massa de tomate,38.0,1.65,8.98,0.21,1.9,393.0,0.03,,4.83,,IBGE
MOLHO DE TOMATE,NAO SE APLICA,molho de tomate,24.0,1.32,5.38,0.18,1.5,524.0,0.03,,4.25,,IBGE
KETCHUP,NAO SE APLICA,ketchup,97.0,1.74,25.15,0.31,0.3,1114.0,0.04,,22.77,,IBGE
CATCHUP,NAO SE APLICA,catchup,97.0,1.74,25.15,0.31,0.3,1114.0,0.04,,22.77,,IBGE
PIMENTA EM PO,NAO SE APLICA,pimenta em po,255.0,10.95,64.81,3.26,26.5,44.0,0.98,,,,IBGE
TUCUPI EM CALDO SEM PIMENTA,NAO SE APLICA,tucupi em caldo sem pimenta,4.87,0.01,1.3,0.0,0.01,400.06,,,1.19,,IBGE
CREME DE QUEIJO,NAO SE APLICA,creme de queijo,209.66,10.34,6.72,15.81,0.1,208.56,9.84,0.49,4.84,51.12,IBGE
CALDO DE PEIXE,NAO SE APLICA,caldo de peixe,16.0,2.0,0.4,0.6,,318.0,0.14,,0.16,,IBGE
CALDO DE TOMATE,NAO SE APLICA,caldo de tomate,37.65,0.75,7.39,0.78,0.46,305.05,0.14,0.03,3.75,,IBGE
GERGELIM,NAO SE APLICA,gergelim,631.0,20.45,11.73,61.21,11.6,47.0,9.06,,0.52,,IBGE
TOMATE SECO,NAO SE APLICA,tomate seco,213.0,5.06,23.33,14.08,5.8,266.0,1.89,0.01,13.9,,IBGE
MAIONESE (MOLHO) LIGHT,NAO SE APLICA,maionese molho light,156.58,0.59,18.77,9.46,1.24,876.69,1.61,0.05,12.48,31.09,IBGE
MOLHO DE SOJA LIGHT,NAO SE APLICA,molho de soja light,53.13,5.18,8.53,0.08,0.8,3341.01,0.01,,2.1,,IBGE
LEITE DE COCO LIGHT,NAO SE APLICA,leite de coco light,202.46,1.61,5.59,20.85,0.91,12.03,18.49,,4.68,,IBGE
VINAGRETE,NAO SE APLICA,vinagrete,76.79,0.65,3.68,6.21,0.93,1299.77,0.87,0.01,3.42,,IBGE
FILE MIGNON,COZIDO(A),file mignon cozido,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
FILE MIGNON,GRELHADO(A)/BRASA/CHURRASCO,file mignon grelhado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
FILE MIGNON,ASSADO(A),file mignon assado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
FILE MIGNON,FRITO(A),file mignon frito,226.66,30.67,,11.56,,41.0,3.82,0.42,,58.0,IBGE
FILE MIGNON,EMPANADO(A)/A MILANESA,file mignon empanado,242.84,31.13,3.39,11.61,0.14,41.09,3.82,0.42,0.01,58.0,IBGE
FILE MIGNON,REFOGADO(A),file mignon refogado,226.66,30.67,,11.56,,41.0,3.82,0.42,,58.0,IBGE
FILE MIGNON,MOLHO VERMELHO,file mignon ao molho vermelho,168.0,24.8,1.08,7.24,0.3,137.6,2.74,0.33,0.85,46.4,IBGE
FILE MIGNON,MOLHO BRANCO,file mignon ao molho branco,195.79,25.32,1.85,9.69,0.04,53.72,4.26,0.42,1.03,53.23,IBGE
FILE MIGNON,COM MANTEIGA/OLEO,file mignon com manteiga,223.14,30.69,0.0,11.17,,56.37,4.79,0.5,0.0,63.74,IBGE
FILE MIGNON,NAO SE APLICA,file mignon,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
CONTRAFILE,COZIDO(A),contrafile cozido,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
CONTRAFILE,GRELHADO(A)/BRASA/CHURRASCO,contrafile grelhado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
CONTRAFILE,ASSADO(A),contrafile assado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
CONTRAFILE,FRITO(A),contrafile frito,226.66,30.67,,11.56,,41.0,3.82,0.42,,58.0,IBGE
CONTRAFILE,EMPANADO(A)/A MILANESA,contrafile empanado,242.84,31.13,3.39,11.61,0.14,41.09,3.82,0.42,0.01,58.0,IBGE
CONTRAFILE,REFOGADO(A),contrafile refogado,226.66,30.67,,11.56,,41.0,3.82,0.42,,58.0,IBGE
CONTRAFILE,MOLHO VERMELHO,contrafile ao molho vermelho,168.0,24.8,1.08,7.24,0.3,137.6,2.74,0.33,0.85,46.4,IBGE
BISTECA BOVINA,CRU(A),bisteca bovina cru,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,COZIDO(A),bisteca bovina cozido,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,GRELHADO(A)/BRASA/CHURRASCO,bisteca bovina grelhado,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,ASSADO(A),bisteca bovina assado,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,FRITO(A),bisteca bovina frito,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,EMPANADO(A)/A MILANESA,bisteca bovina empanado,329.84,26.31,3.39,22.65,0.14,53.09,8.3,0.92,0.01,105.0,IBGE
BISTECA BOVINA,REFOGADO(A),bisteca bovina refogado,471.0,21.57,,41.98,,50.0,17.8,1.91,,94.0,IBGE
BISTECA BOVINA,MOLHO VERMELHO,bisteca bovina ao molho vermelho,381.6,17.52,1.08,33.62,0.3,144.8,14.25,1.53,0.85,75.2,IBGE
ALCATRA,CRU(A),alcatra cru,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
ALCATRA,COZIDO(A),alcatra cozido,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
ALCATRA,GRELHADO(A)/BRASA/CHURRASCO,alcatra grelhado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
ALCATRA,ASSADO(A),alcatra assado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
ALCATRA,FRITO(A),alcatra frito,253.57,30.67,,14.61,,41.0,4.29,0.44,,58.0,IBGE
ALCATRA,EMPANADO(A)/A MILANESA,alcatra empanado,253.57,30.67,,14.61,,41.0,4.29,0.44,,58.0,IBGE
ALCATRA,REFOGADO(A),alcatra refogado,253.57,30.67,,14.61,,41.0,4.29,0.44,,58.0,IBGE
ALCATRA,MOLHO VERMELHO,alcatra ao molho vermelho,168.0,24.8,1.08,7.24,0.3,137.6,2.74,0.33,0.85,46.4,IBGE
ALCATRA,AO VINAGRETE,alcatra ao vinagrete,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
ALCATRA,ENSOPADO,alcatra ensopado,253.57,30.67,,14.61,,41.0,4.29,0.44,,58.0,IBGE
MAMINHA,GRELHADO(A)/BRASA/CHURRASCO,maminha grelhado,199.0,36.12,,5.0,,45.0,1.72,0.23,,90.0,IBGE
MAMINHA,ASSADO(A),maminha assado,199.0,36.12,,5.0,,45.0,1.72,0.23,,90.0,IBGE
MAMINHA,FRITO(A),maminha frito,248.57,36.12,,10.61,,45.0,2.6,0.26,,90.0,IBGE
MAMINHA,MOLHO VERMELHO,maminha ao molho vermelho,164.0,29.16,1.08,4.04,0.3,140.8,1.38,0.18,0.85,72.0,IBGE
PICANHA,COZIDO(A),picanha cozido,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
PICANHA,GRELHADO(A)/BRASA/CHURRASCO,picanha grelhado,204.0,30.67,,9.0,,41.0,3.42,0.41,,58.0,IBGE
