nome,nome_busca,categoria,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,colesterol_mg,calcio_mg,ferro_mg,fonte,porcao_num,porcao_uni,marca,sodio_g
"Quibe, cru",quibe cru,Carnes e derivados,109.0,12.4,10.8,1.7,1.6,39.0,27.0,12.0,1.7,TACO,,g,,0.039
"Quibe, frito",quibe frito,Carnes e derivados,254.0,14.9,12.3,15.8,,836.0,38.0,22.0,2.0,TACO,,g,,0.836
Salame,salame,Carnes e derivados,398.0,25.8,2.9,30.6,,1574.0,85.0,87.0,1.3,TACO,,g,,1.574
"Toucinho, cru",toucinho cru,Carnes e derivados,593.0,11.5,0.0,60.3,,50.0,73.0,2.0,0.4,TACO,,g,,0.05
"Toucinho, frito",toucinho frito,Carnes e derivados,697.0,27.3,0.0,64.3,,125.0,89.0,9.0,0.9,TACO,,g,,0.125
"Bebida láctea, pêssego",bebida lactea pessego,Leite e derivados,55.0,2.1,7.6,1.9,0.3,46.0,5.0,89.0,0.0,TACO,,g,,0.046
Creme de Leite,creme de leite,Leite e derivados,221.0,1.5,4.5,22.5,,52.0,66.0,83.0,0.3,TACO,,g,,0.052
"Iogurte, natural",iogurte natural,Leite e derivados,51.0,4.1,1.9,3.0,,52.0,14.0,143.0,0.0,TACO,,g,,0.052
"Iogurte, natural, desnatado",iogurte natural desnatado,Leite e derivados,41.0,3.8,5.8,0.3,,60.0,3.0,157.0,0.0,TACO,,g,,0.06
"Iogurte, sabor abacaxi",iogurte sabor abacaxi,Leite e derivados,,,,,,,6.0,,,TACO,,g,,
"Iogurte, sabor morango",iogurte sabor morango,Leite e derivados,70.0,2.7,9.7,2.3,0.2,38.0,7.0,101.0,0.0,TACO,,g,,0.038
"Iogurte, sabor pêssego",iogurte sabor pessego,Leite e derivados,68.0,2.5,9.4,2.3,0.7,37.0,8.0,95.0,0.1,TACO,,g,,0.037
"Leite, condensado",leite condensado,Leite e derivados,313.0,7.7,57.0,6.7,,94.0,28.0,246.0,0.1,TACO,,g,,0.094
"Leite, de cabra",leite de cabra,Leite e derivados,66.0,3.1,5.2,3.8,,74.0,14.0,112.0,0.1,TACO,,g,,0.074
"Leite, de vaca, achocolatado",leite de vaca achocolatado,Leite e derivados,83.0,2.1,14.2,2.2,0.6,72.0,6.0,70.0,0.5,TACO,,g,,0.072
"Leite, de vaca, desnatado, pó",leite de vaca desnatado po,Leite e derivados,362.0,34.7,53.0,0.9,,432.0,25.0,1363.0,0.9,TACO,,g,,0.432
"Leite, de vaca, desnatado, UHT",leite de vaca desnatado uht,Leite e derivados,,,,,,51.0,4.0,134.0,0.0,TACO,,g,,0.051
"Leite, de vaca, integral",leite de vaca integral,Leite e derivados,,,,,,64.0,10.0,123.0,0.0,TACO,,g,,0.064
"Leite, de vaca, integral, pó",leite de vaca integral po,Leite e derivados,497.0,25.4,39.2,26.9,,323.0,85.0,890.0,0.5,TACO,,g,,0.323
"Leite, fermentado",leite fermentado,Leite e derivados,70.0,1.9,15.7,0.1,,33.0,2.0,72.0,0.0,TACO,,g,,0.033
"Queijo, minas, frescal",queijo minas frescal,Leite e derivados,264.0,17.4,3.2,20.2,,31.0,62.0,579.0,0.9,TACO,,g,,0.031
"Queijo, minas, meia cura",queijo minas meia cura,Leite e derivados,321.0,21.2,3.6,24.6,,501.0,76.0,696.0,0.2,TACO,,g,,0.501
"Queijo, mozarela",queijo mozarela,Leite e derivados,330.0,22.6,3.0,25.2,,581.0,80.0,875.0,0.3,TACO,,g,,0.581
"Queijo, parmesão",queijo parmesao,Leite e derivados,453.0,35.6,1.7,33.5,,1844.0,106.0,992.0,0.5,TACO,,g,,1.844
"Queijo, pasteurizado",queijo pasteurizado,Leite e derivados,303.0,9.4,5.7,27.4,,780.0,82.0,323.0,0.3,TACO,,g,,0.78
"Queijo, petit suisse, morango",queijo petit suisse morango,Leite e derivados,121.0,5.8,18.5,2.8,,412.0,12.0,731.0,0.1,TACO,,g,,0.412
"Queijo, prato",queijo prato,Leite e derivados,360.0,22.7,1.9,29.1,,580.0,91.0,940.0,0.3,TACO,,g,,0.58
"Queijo, requeijão, cremoso",queijo requeijao cremoso,Leite e derivados,257.0,9.6,2.4,23.4,,558.0,74.0,259.0,0.1,TACO,,g,,0.558
"Queijo, ricota",queijo ricota,Leite e derivados,140.0,12.6,3.8,8.1,,283.0,49.0,253.0,0.1,TACO,,g,,0.283
"Bebida isotônica, sabores variados",bebida isotonica sabores variados,Bebidas (alcoólicas e não alcoólicas),26.0,0.0,6.4,0.0,,44.0,,1.0,0.7,TACO,,g,,0.044
"Café, infusão 10% (preparado)",cafe infusao 10,Bebidas (alcoólicas e não alcoólicas),2.0,0.3,0.0,0.0,,1.0,,3.0,0.0,TACO,,g,,0.001
"Cana, aguardente 1",cana aguardente 1,Bebidas (alcoólicas e não alcoólicas),216.0,,,,,3.0,,0.0,0.0,TACO,,g,,0.003
"Cana, caldo de",cana caldo de,Bebidas (alcoólicas e não alcoólicas),65.0,0.0,18.2,0.0,0.1,0.0,,9.0,0.8,TACO,,g,,0.0
"Cerveja, pilsen 2",cerveja pilsen 2,Bebidas (alcoólicas e não alcoólicas),41.0,0.6,3.3,0.0,,4.0,,5.0,0.0,TACO,,g,,0.004
"Chá, erva-doce, infusão 5%",cha ervadoce infusao 5,Bebidas (alcoólicas e não alcoólicas),1.0,0.0,0.4,0.0,,1.0,,2.0,0.0,TACO,,g,,0.001
"Chá, mate, infusão 5%",cha mate infusao 5,Bebidas (alcoólicas e não alcoólicas),3.0,0.0,0.6,0.1,,0.0,,1.0,0.0,TACO,,g,,0.0
"Chá, preto, infusão 5%",cha preto infusao 5,Bebidas (alcoólicas e não alcoólicas),2.0,0.0,0.6,0.0,,0.0,,0.0,0.0,TACO,,g,,0.0
"Coco, água de",coco agua de,Bebidas (alcoólicas e não alcoólicas),22.0,0.0,5.3,0.0,0.1,2.0,,19.0,0.0,TACO,,g,,0.002
"Refrigerante, tipo água tônica",refrigerante tipo agua tonica,Bebidas (alcoólicas e não alcoólicas),31.0,0.0,8.0,0.0,,8.0,,1.0,0.0,TACO,,g,,0.008
"Refrigerante, tipo cola",refrigerante tipo cola,Bebidas (alcoólicas e não alcoólicas),34.0,0.0,8.7,0.0,,7.0,,1.0,0.0,TACO,,g,,0.007
"Refrigerante, tipo guaraná",refrigerante tipo guarana,Bebidas (alcoólicas e não alcoólicas),39.0,0.0,10.0,0.0,,9.0,,1.0,0.0,TACO,,g,,0.009
"Refrigerante, tipo laranja",refrigerante tipo laranja,Bebidas (alcoólicas e não alcoólicas),46.0,0.0,11.8,0.0,,9.0,,2.0,0.0,TACO,,g,,0.009
"Refrigerante, tipo limão",refrigerante tipo limao,Bebidas (alcoólicas e não alcoólicas),40.0,0.0,10.3,0.0,,9.0,,2.0,0.0,TACO,,g,,0.009
"Omelete, de queijo",omelete de queijo,Ovos e derivados,268.0,15.6,0.4,22.0,,216.0,384.0,166.0,1.4,TACO,,g,,0.216
"Ovo, de codorna, inteiro, cru",ovo de codorna inteiro cru,Ovos e derivados,177.0,13.7,0.8,12.7,,129.0,568.0,79.0,3.3,TACO,,g,,0.129
"Ovo, de galinha, clara, cozida/10minutos",ovo de galinha clara cozida10minutos,Ovos e derivados,59.0,13.4,0.0,0.1,,181.0,,6.0,0.1,TACO,,g,,0.181
"Ovo, de galinha, gema, cozida/10minutos",ovo de galinha gema cozida10minutos,Ovos e derivados,353.0,15.9,1.6,30.8,,45.0,1272.0,114.0,2.9,TACO,,g,,0.045
"Ovo, de galinha, inteiro, cozido/10minutos",ovo de galinha inteiro cozido10minutos,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,50,g,,0.146
"Ovo, de galinha, inteiro, cru",ovo de galinha inteiro cru,Ovos e derivados,143.0,13.0,1.6,8.9,,168.0,356.0,42.0,1.6,TACO,50,g,,0.168
"Ovo, de galinha, inteiro, frito",ovo de galinha inteiro frito,Ovos e derivados,240.0,15.6,1.2,18.6,,166.0,516.0,73.0,2.1,TACO,50,g,,0.166
"Achocolatado, pó",achocolatado po,Produtos açucarados,401.0,4.2,91.2,2.2,3.9,65.0,0.0,44.0,5.4,TACO,,g,,0.065
"Açúcar, cristal",acucar cristal,Produtos açucarados,387.0,0.3,99.6,0.0,,0.0,,8.0,0.2,TACO,,g,,0.0
"Açúcar, mascavo",acucar mascavo,Produtos açucarados,369.0,0.8,94.5,0.1,,25.0,,127.0,8.3,TACO,,g,,0.025
"Açúcar, refinado",acucar refinado,Produtos açucarados,387.0,0.3,99.5,0.0,,12.0,,4.0,0.1,TACO,,g,,0.012
"Chocolate, ao leite",chocolate ao leite,Produtos açucarados,540.0,7.2,59.6,30.3,2.2,77.0,17.0,191.0,1.6,TACO,,g,,0.077
"Chocolate, ao leite, com castanha do Pará",chocolate ao leite com castanha do para,Produtos açucarados,559.0,7.4,55.4,34.2,2.5,64.0,16.0,171.0,1.5,TACO,,g,,0.064
"Chocolate, ao leite, dietético",chocolate ao leite dietetico,Produtos açucarados,557.0,6.9,56.3,33.8,2.8,85.0,13.0,188.0,3.3,TACO,,g,,0.085
"Chocolate, meio amargo",chocolate meio amargo,Produtos açucarados,475.0,4.9,62.4,29.9,4.9,9.0,2.0,45.0,3.6,TACO,,g,,0.009
Cocada branca,cocada branca,Produtos açucarados,449.0,1.1,81.4,13.6,3.6,29.0,,7.0,1.2,TACO,,g,,0.029
"Doce, de abóbora, cremoso",doce de abobora cremoso,Produtos açucarados,199.0,0.9,54.6,0.2,2.3,0.0,,13.0,0.9,TACO,,g,,0.0
"Doce, de leite, cremoso",doce de leite cremoso,Produtos açucarados,306.0,5.5,59.5,6.0,,120.0,20.0,195.0,0.1,TACO,,g,,0.12
"Geléia, mocotó, natural",geleia mocoto natural,Produtos açucarados,106.0,2.1,24.2,0.1,,43.0,0.0,4.0,0.1,TACO,,g,,0.043
Glicose de milho,glicose de milho,Produtos açucarados,292.0,0.0,79.4,0.0,,59.0,,6.0,0.1,TACO,,g,,0.059
Maria mole,maria mole,Produtos açucarados,301.0,3.8,73.6,0.2,0.7,15.0,,13.0,0.4,TACO,,g,,0.015
"Maria mole, coco queimado",maria mole coco queimado,Produtos açucarados,307.0,3.9,75.1,0.1,0.6,14.0,,19.0,0.5,TACO,,g,,0.014
Marmelada,marmelada,Produtos açucarados,257.0,0.4,70.8,0.1,4.1,11.0,,11.0,0.7,TACO,,g,,0.011
"Mel, de abelha",mel de abelha,Produtos açucarados,309.0,0.0,84.0,0.0,,6.0,,10.0,0.3,TACO,,g,,0.006
Melado,melado,Produtos açucarados,297.0,0.0,76.6,0.0,,4.0,,102.0,5.4,TACO,,g,,0.004
Quindim,quindim,Produtos açucarados,411.0,4.7,46.3,24.4,3.2,27.0,271.0,37.0,1.4,TACO,,g,,0.027
Rapadura,rapadura,Produtos açucarados,352.0,1.0,90.8,0.1,,22.0,,30.0,4.4,TACO,,g,,0.022
"Café, pó, torrado",cafe po torrado,Miscelâneas,419.0,14.7,65.8,11.9,51.2,1.0,,107.0,8.1,TACO,,g,,0.001
"Capuccino, pó",capuccino po,Miscelâneas,417.0,11.3,73.6,8.6,2.4,382.0,29.0,467.0,2.3,TACO,,g,,0.382
"Fermento em pó, químico",fermento em po quimico,Miscelâneas,90.0,0.5,43.9,0.1,,10052.0,,,,TACO,,g,,10.052
"Fermento, biológico, levedura, tablete",fermento biologico levedura tablete,Miscelâneas,90.0,17.0,7.7,1.5,4.2,40.0,,18.0,2.6,TACO,,g,,0.04
"Gelatina, sabores variados, pó",gelatina sabores variados po,Miscelâneas,380.0,8.9,89.2,0.0,,235.0,,27.0,0.3,TACO,,g,,0.235
"Sal, dietético",sal dietetico,Miscelâneas,,,,,,23432.0,,,,TACO,,g,,23.432
"Sal, grosso",sal grosso,Miscelâneas,,,,,,39943.0,,,,TACO,,g,,39.943
Shoyu,shoyu,Miscelâneas,61.0,3.3,11.6,0.3,,5024.0,,15.0,0.5,TACO,,g,,5.024
Tempero a base de sal,tempero a base de sal,Miscelâneas,21.0,2.7,2.1,0.3,0.6,32560.0,,,,TACO,,g,,32.56
"Azeitona, preta, conserva",azeitona preta conserva,Outros alimentos industrializados,194.0,1.2,5.5,20.3,4.6,1567.0,,59.0,5.5,TACO,,g,,1.567
"Azeitona, verde, conserva",azeitona verde conserva,Outros alimentos industrializados,137.0,0.9,4.1,14.2,3.8,1347.0,,46.0,0.2,TACO,,g,,1.347
"Chantilly, spray, com gordura vegetal",chantilly spray com gordura vegetal,Outros alimentos industrializados,315.0,0.5,16.9,27.3,,110.0,0.0,2.0,0.0,TACO,,g,,0.11
"Leite, de coco",leite de coco,Outros alimentos industrializados,166.0,1.0,2.2,18.4,0.7,44.0,,6.0,0.5,TACO,,g,,0.044
"Maionese, tradicional com ovos",maionese tradicional com ovos,Outros alimentos industrializados,302.0,0.6,7.9,30.5,,787.0,42.0,3.0,0.1,TACO,,g,,0.787
Acarajé,acaraje,Alimentos preparados,289.0,8.3,19.1,19.9,9.4,305.0,25.0,124.0,1.9,TACO,,g,,0.305
Arroz carreteiro,arroz carreteiro,Alimentos preparados,154.0,10.8,11.6,7.1,1.5,1622.0,36.0,13.0,1.0,TACO,,g,,1.622
"Baião de dois, arroz e feijão-de-corda",baiao de dois arroz e feijaodecorda,Alimentos preparados,136.0,6.2,20.4,3.2,5.1,93.0,4.0,33.0,0.6,TACO,,g,,0.093
Barreado,barreado,Alimentos preparados,165.0,18.3,0.2,9.5,0.1,48.0,60.0,15.0,2.4,TACO,,g,,0.048
"Bife à cavalo, com contra filé",bife a cavalo com contra file,Alimentos preparados,291.0,23.7,0.0,21.1,,83.0,257.0,26.0,2.1,TACO,,g,,0.083
Bolinho de arroz,bolinho de arroz,Alimentos preparados,274.0,8.0,41.7,8.3,2.7,59.0,70.0,24.0,2.1,TACO,,g,,0.059
Camarão à baiana,camarao a baiana,Alimentos preparados,101.0,7.9,3.2,6.0,0.4,85.0,117.0,43.0,1.4,TACO,,g,,0.085
"Charuto, de repolho",charuto de repolho,Alimentos preparados,78.0,6.8,10.1,1.1,1.5,12.0,21.0,23.0,0.9,TACO,,g,,0.012
"Cuscuz, de milho, cozido com sal",cuscuz de milho cozido com sal,Alimentos preparados,113.0,2.2,25.3,0.7,2.1,248.0,,2.0,0.2,TACO,,g,,0.248
"Cuscuz, paulista",cuscuz paulista,Alimentos preparados,142.0,2.6,22.5,4.6,2.4,236.0,15.0,14.0,0.3,TACO,,g,,0.236
"Cuxá, molho",cuxa molho,Alimentos preparados,80.0,5.6,5.7,3.6,3.0,1344.0,58.0,105.0,0.9,TACO,,g,,1.344
Dobradinha,dobradinha,Alimentos preparados,125.0,19.8,0.0,4.4,,29.0,144.0,11.0,1.0,TACO,,g,,0.029
Estrogonofe de carne,estrogonofe de carne,Alimentos preparados,173.0,15.0,3.0,10.8,,123.0,66.0,28.0,2.7,TACO,,g,,0.123
Estrogonofe de frango,estrogonofe de frango,Alimentos preparados,157.0,17.6,2.6,8.0,,99.0,80.0,26.0,1.5,TACO,,g,,0.099
Feijão tropeiro mineiro,feijao tropeiro mineiro,Alimentos preparados,152.0,10.2,19.6,6.8,3.6,365.0,68.0,41.0,2.2,TACO,,g,,0.365
Feijoada,feijoada,Alimentos preparados,117.0,8.7,11.6,6.5,5.1,278.0,22.0,32.0,1.3,TACO,,g,,0.278
"Frango, com açafrão",frango com acafrao,Alimentos preparados,113.0,9.7,4.1,6.2,0.2,29.0,50.0,13.0,0.8,TACO,,g,,0.029
"Macarrão, molho bolognesa",macarrao molho bolognesa,Alimentos preparados,120.0,4.9,22.5,0.9,0.8,9.0,7.0,11.0,1.4,TACO,,g,,0.009
Maniçoba,manicoba,Alimentos preparados,134.0,10.0,3.4,8.7,2.2,407.0,43.0,66.0,3.2,TACO,,g,,0.407
Quibebe,quibebe,Alimentos preparados,86.0,8.6,6.6,2.7,1.7,247.0,,8.0,0.8,TACO,,g,,0.247
"Salada, de legumes, com maionese",salada de legumes com maionese,Alimentos preparados,96.0,1.1,8.9,7.0,2.2,228.0,7.0,12.0,0.2,TACO,,g,,0.228
"Salada, de legumes, cozida no vapor",salada de legumes cozida no vapor,Alimentos preparados,35.0,2.0,7.1,0.3,2.5,3.0,,33.0,0.4,TACO,,g,,0.003
"Salpicão, de frango",salpicao de frango,Alimentos preparados,148.0,13.9,4.6,7.8,0.4,248.0,53.0,9.0,0.3,TACO,,g,,0.248
Sarapatel,sarapatel,Alimentos preparados,123.0,18.5,1.1,4.4,,216.0,315.0,12.0,7.2,TACO,,g,,0.216
Tabule,tabule,Alimentos preparados,57.0,2.0,10.6,1.2,2.1,1.0,,19.0,0.6,TACO,,g,,0.001
Tacacá,tacaca,Alimentos preparados,47.0,7.0,3.4,0.4,0.2,1349.0,71.0,45.0,0.9,TACO,,g,,1.349
"Tapioca, com manteiga",tapioca com manteiga,Alimentos preparados,348.0,0.1,63.6,10.9,0.0,158.0,31.0,30.0,0.2,TACO,,g,,0.158
"Tucupi, com pimenta-de-cheiro",tucupi com pimentadecheiro,Alimentos preparados,27.0,2.1,4.7,0.3,0.2,5.0,,28.0,1.1,TACO,,g,,0.005
Vaca atolada,vaca atolada,Alimentos preparados,145.0,5.1,10.1,9.3,2.3,26.0,19.0,63.0,0.7,TACO,,g,,0.026
Vatapá,vatapa,Alimentos preparados,255.0,6.0,9.7,23.2,1.7,880.0,44.0,47.0,1.4,TACO,,g,,0.88
Virado à paulista,virado a paulista,Alimentos preparados,307.0,10.2,14.1,25.6,2.2,346.0,66.0,41.0,1.1,TACO,,g,,0.346
Yakisoba,yakisoba,Alimentos preparados,113.0,7.5,18.3,2.6,1.1,794.0,,14.0,0.6,TACO,,g,,0.794
"Amendoim, grão, cru",amendoim grao cru,Leguminosas e derivados,544.0,27.2,20.3,43.9,8.0,0.0,,0.0,2.5,TACO,,g,,0.0
"Amendoim, torrado, salgado",amendoim torrado salgado,Leguminosas e derivados,606.0,22.5,18.7,54.0,7.8,376.0,,39.0,1.3,TACO,,g,,0.376
"Ervilha, em vagem",ervilha em vagem,Leguminosas e derivados,88.0,7.5,14.2,0.5,9.7,0.0,,24.0,1.4,TACO,,g,,0.0
"Ervilha, enlatada, drenada",ervilha enlatada drenada,Leguminosas e derivados,74.0,4.6,13.4,0.4,5.1,372.0,,22.0,1.4,TACO,,g,,0.372
"Feijão, carioca, cozido",feijao carioca cozido,Leguminosas e derivados,76.0,4.8,13.6,0.5,8.5,2.0,,27.0,1.3,TACO,,g,,0.002
"Feijão, carioca, cru",feijao carioca cru,Leguminosas e derivados,329.0,20.0,61.2,1.3,18.4,0.0,,123.0,8.0,TACO,,g,,0.0
"Feijão, fradinho, cozido",feijao fradinho cozido,Leguminosas e derivados,78.0,5.1,13.5,0.6,7.5,1.0,,17.0,1.1,TACO,,g,,0.001
"Feijão, fradinho, cru",feijao fradinho cru,Leguminosas e derivados,339.0,20.2,61.2,2.4,23.6,10.0,,78.0,5.1,TACO,,g,,0.01
"Feijão, jalo, cozido",feijao jalo cozido,Leguminosas e derivados,93.0,6.1,16.5,0.5,13.9,1.0,,29.0,1.9,TACO,,g,,0.001
"Feijão, jalo, cru",feijao jalo cru,Leguminosas e derivados,328.0,20.1,61.5,0.9,30.3,25.0,,98.0,7.0,TACO,,g,,0.025
"Feijão, preto, cozido",feijao preto cozido,Leguminosas e derivados,77.0,4.5,14.0,0.5,8.4,2.0,,29.0,1.5,TACO,,g,,0.002
"Feijão, preto, cru",feijao preto cru,Leguminosas e derivados,324.0,21.3,58.8,1.2,21.8,0.0,,111.0,6.5,TACO,,g,,0.0
"Feijão, rajado, cozido",feijao rajado cozido,Leguminosas e derivados,85.0,5.5,15.3,0.4,9.3,1.0,,29.0,1.4,TACO,,g,,0.001
"Feijão, rajado, cru",feijao rajado cru,Leguminosas e derivados,326.0,17.3,62.9,1.2,24.0,14.0,,111.0,18.6,TACO,,g,,0.014
"Feijão, rosinha, cozido",feijao rosinha cozido,Leguminosas e derivados,68.0,4.5,11.8,0.5,4.8,2.0,,19.0,1.2,TACO,,g,,0.002
"Feijão, rosinha, cru",feijao rosinha cru,Leguminosas e derivados,337.0,20.9,62.2,1.3,20.6,24.0,,68.0,5.3,TACO,,g,,0.024
"Feijão, roxo, cozido",feijao roxo cozido,Leguminosas e derivados,77.0,5.7,12.9,0.5,11.5,1.0,,23.0,1.4,TACO,,g,,0.001
"Feijão, roxo, cru",feijao roxo cru,Leguminosas e derivados,331.0,22.2,60.0,1.2,33.8,10.0,,120.0,6.9,TACO,,g,,0.01
"Grão-de-bico, cru",graodebico cru,Leguminosas e derivados,355.0,21.2,57.9,5.4,12.4,5.0,,114.0,5.4,TACO,,g,,0.005
"Guandu, cru",guandu cru,Leguminosas e derivados,344.0,19.0,64.0,2.1,21.3,2.0,,129.0,1.9,TACO,,g,,0.002
"Lentilha, cozida",lentilha cozida,Leguminosas e derivados,93.0,6.3,16.3,0.5,7.9,1.0,,16.0,1.5,TACO,,g,,0.001
"Lentilha, crua",lentilha crua,Leguminosas e derivados,339.0,23.2,62.0,0.8,16.9,0.0,,54.0,7.0,TACO,,g,,0.0
"Paçoca, amendoim",pacoca amendoim,Leguminosas e derivados,487.0,16.0,52.4,26.1,7.3,167.0,,22.0,1.1,TACO,,g,,0.167
"Pé-de-moleque, amendoim",pedemoleque amendoim,Leguminosas e derivados,503.0,13.2,54.7,28.0,3.4,16.0,,27.0,1.3,TACO,,g,,0.016
"Soja, farinha",soja farinha,Leguminosas e derivados,404.0,36.0,38.4,14.6,20.2,6.0,,206.0,13.1,TACO,,g,,0.006
"Soja, extrato solúvel, natural, fluido",soja extrato soluvel natural fluido,Leguminosas e derivados,39.0,2.4,4.3,1.6,0.4,57.0,,17.0,0.4,TACO,,g,,0.057
"Soja, extrato solúvel, pó",soja extrato soluvel po,Leguminosas e derivados,459.0,35.7,28.5,26.2,7.3,83.0,,359.0,7.0,TACO,,g,,0.083
"Soja, queijo (tofu)",soja queijo tofu,Leguminosas e derivados,64.0,6.6,2.1,4.0,0.8,1.0,,81.0,1.4,TACO,,g,,0.001
"Tremoço, cru",tremoco cru,Leguminosas e derivados,381.0,33.6,43.8,10.3,32.3,3.0,,177.0,2.8,TACO,,g,,0.003
"Tremoço, em conserva",tremoco em conserva,Leguminosas e derivados,121.0,11.1,12.4,3.8,14.4,1809.0,,16.0,0.3,TACO,,g,,1.809
"Amêndoa, torrada, salgada",amendoa torrada salgada,Nozes e sementes,581.0,18.6,29.5,47.3,11.6,279.0,,237.0,3.1,TACO,,g,,0.279
"Castanha-de-caju, torrada, salgada",castanhadecaju torrada salgada,Nozes e sementes,570.0,18.5,29.1,46.3,3.7,125.0,,33.0,5.2,TACO,,g,,0.125
"Castanha-do-Brasil, crua",castanhadobrasil crua,Nozes e sementes,643.0,14.5,15.1,63.5,7.9,1.0,,146.0,2.3,TACO,,g,,0.001
"Coco, cru",coco cru,Nozes e sementes,406.0,3.7,10.4,42.0,5.4,15.0,,6.0,1.8,TACO,,g,,0.015
"Coco,  verde, cru",coco verde cru,Nozes e sementes,,,,,,,,,,TACO,,g,,
"Farinha, de mesocarpo de babaçu, crua",farinha de mesocarpo de babacu crua,Nozes e sementes,329.0,1.4,79.2,0.2,17.9,12.0,,61.0,18.3,TACO,,g,,0.012
"Gergelim, semente",gergelim semente,Nozes e sementes,584.0,21.2,21.6,50.4,11.9,3.0,,825.0,5.4,TACO,,g,,0.003
"Linhaça, semente",linhaca semente,Nozes e sementes,495.0,14.1,43.3,32.3,33.5,9.0,,211.0,4.7,TACO,,g,,0.009
"Pinhão, cozido",pinhao cozido,Nozes e sementes,174.0,3.0,43.9,0.7,15.6,1.0,,16.0,0.8,TACO,,g,,0.001
"Pupunha, cozida",pupunha cozida,Nozes e sementes,219.0,2.5,29.6,12.8,4.3,1.0,,28.0,0.5,TACO,,g,,0.001
"Noz, crua",noz crua,Nozes e sementes,620.0,14.0,18.4,59.4,7.2,5.0,,105.0,2.0,TACO,,g,,0.005
"Arroz, tipo 1, cozido",arroz branco cozido,Cereais e derivados,128.0,2.5,28.1,0.2,1.6,1.0,,4.0,0.1,TACO,,g,,0.001
"Arroz, tipo 1, cozido",arroz cozido,Cereais e derivados,128.0,2.5,28.1,0.2,1.6,1.0,,4.0,0.1,TACO,,g,,0.001
"Arroz, tipo 1, cozido",arroz polido cozido,Cereais e derivados,128.0,2.5,28.1,0.2,1.6,1.0,,4.0,0.1,TACO,,g,,0.001
"Arroz, tipo 1, cozido",arroz agulha cozido,Cereais e derivados,128.0,2.5,28.1,0.2,1.6,1.0,,4.0,0.1,TACO,,g,,0.001
"Ovo, de galinha, inteiro, cozido/10minutos",ovo cozido,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,50,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovos cozidos,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,50,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo de galinha cozido,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo de galinha inteiro cozido,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovos mexidos,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,50,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo mexido,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo de galinha mexido,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo estrelado,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, cozido/10minutos",ovo de galinha estrelado,Ovos e derivados,146.0,13.3,0.6,9.5,,146.0,397.0,49.0,1.5,TACO,,g,,0.146
"Ovo, de galinha, inteiro, frito",ovo frito,Ovos e derivados,240.0,15.6,1.2,18.6,,166.0,516.0,73.0,2.1,TACO,,g,,0.166
"Ovo, de galinha, inteiro, frito",ovos fritos,Ovos e derivados,240.0,15.6,1.2,18.6,,166.0,516.0,73.0,2.1,TACO,,g,,0.166
"Ovo, de galinha, inteiro, frito",ovo de galinha frito,Ovos e derivados,240.0,15.6,1.2,18.6,,166.0,516.0,73.0,2.1,TACO,,g,,0.166
"Ovo, de galinha, inteiro, frito",omelete,Ovos e derivados,154.0,10.5,1.5,11.8,,320.0,516.0,73.0,2.1,TACO,80,g,,0.32
"Ovo, de galinha, inteiro, frito",omelete simples,Ovos e derivados,154.0,10.5,1.5,11.8,,320.0,516.0,73.0,2.1,TACO,,g,,0.32
"Ovo, de galinha, inteiro, frito",omelete de ovo,Ovos e derivados,154.0,10.5,1.5,11.8,,320.0,516.0,73.0,2.1,TACO,,g,,0.32
"Aspargo, cozido",aspargo cozido,"Verduras, hortaliças e derivados",20.0,2.2,3.7,0.2,3.4,2.0,,51.0,0.5,TACO,,g,,0.002
"Aspargo, cru",aspargo,"Verduras, hortaliças e derivados",20.0,2.2,3.7,0.2,3.4,2.0,,51.0,0.5,TACO,,g,,0.002
"Aspargo, grelhado",aspargo grelhado,"Verduras, hortaliças e derivados",25.0,2.5,3.7,0.5,3.4,2.0,,51.0,0.5,TACO,,g,,0.002
